,Asset,Start,End,Annual Return,Annual Volatility,Skewness,Kurtosis,Sharpe Ratio,Sortino Ratio,Max Drawdown,Tail Ratio,VaR
149,Heating Oil,1970-05-31,2020-05-31,inf,,16.092542996206408,289.4193359174156,,inf,0.0,31.83523219786716,
150,Coal,1970-05-31,2020-05-31,,,5.708642110425746,35.648452228441094,,inf,0.0,534376.4313173882,
151,Gold,1970-03-31,2020-05-31,-1.0,2.3237612677575565e+46,24.494931335473638,598.0016611295684,0.14106912317172202,1.5096105609870225e+45,-1.0,64280847.47023155,-1.3143066130970039e+46
152,Silver,1970-03-31,2020-05-31,0.5833244118315979,296781402.91580224,23.995810356303668,580.8212236356708,0.16371051724603794,23275628.682145756,-1.0,1053.3908362565642,-167297969.78221732
153,Copper,1970-03-31,2020-05-31,inf,,14.366085344414897,211.39917444710736,,inf,0.0,461.99679448957903,
154,Steel,1970-03-31,2020-05-31,,,7.001400046077077,47.01960442059289,,inf,0.0,5.642112936254925e+31,
155,Aluminum,1970-03-31,2020-05-31,,,18.000085207705613,322.0030674846626,,inf,0.0,16654242499.478836,
156,Cotton,1978-10-31,2020-05-31,-1.0,271701305415519.1,18.894937689353693,373.53976615736286,0.20290593444479496,23701637372432.86,-1.0,5880839.025625146,-152272671215388.8
157,Wheat,1978-10-31,2020-05-31,,,18.485964547823002,363.1504658303016,,inf,0.0,45736840.5502526,
158,Soybeans,1978-10-31,2020-05-31,,,22.11312564906945,486.9942348972096,,inf,0.0,1544382453.4095483,
159,Corn,1978-10-31,2020-05-31,,,19.80208058591773,405.9940685877102,,inf,0.0,29505808.11161772,
160,Feeder Cattle,1978-10-31,2020-05-31,,,21.039725869643355,451.7014592944468,,inf,0.0,8001721.17771707,
161,Live Cattle,1978-10-31,2020-05-31,,,10.49096479186573,124.2861111154873,,inf,0.0,2476305.733334975,
162,Sugar,1978-10-31,2020-05-31,inf,,12.76886858188349,170.22170645819574,,inf,0.0,4567.722222627287,
163,USDJPY,1971-02-28,2020-05-31,-1.0,13864412.703590484,7.94076684799958,69.26874371063248,0.5756934219861115,3466605.051893268,-1.0,1481454.8929981221,-7339484.807144224
164,EURUSD,1971-02-28,2020-05-31,inf,,2.854090610895701,9.664446828142314,,inf,0.0,10.187467487351215,
165,GBPUSD,1971-02-28,2020-05-31,-0.30281221880558595,22.549504387617365,3.590464326052877,15.884763283098469,1.357892991350982,17.407065787933245,-0.9999999997990489,16.04095730519787,-10.467311264418214
166,AUDUSD,1971-02-28,2020-05-31,-0.19916215059375952,18.905598165948216,6.7157089358047415,53.02516178621808,0.8704561124571668,11.081276427243559,-0.99999986260191,6.743324851059411,-9.543777733367046
167,USDCAD,1971-02-28,2020-05-31,-0.12334605286035139,11.300480642873827,2.4697930566311466,6.643990399944222,1.41923162828484,10.022059178445263,-0.9999992280725374,10.624059695725457,-5.187835579203099
168,USDCNY,1971-02-28,2020-05-31,inf,,19.124053469851365,386.70843808267693,,inf,0.0,610.2215839528385,
