Date,MLPs,Internet,Gold Miners,Biotech,Software,Homebuilders,Regional Banks,Agriculture,Oil Services,Water Resources,Semiconductors,REITs,Metals & Mining,Oil & Gas E&P,Retail
30/06/2014,11.87268543,59.58000183,25.45466995,84.86095428,84.21601868,24.14117622,36.02106094,48.49045563,1012.727844,25.84856415,45.27101898,58.83694077,37.94545364,305.6887817,39.99676514
1/07/2014,11.90393066,60.47999954,25.25257111,86.87162781,85.18546295,24.42347145,36.47668457,48.57860947,1009.57196,26.00410461,46.00281525,59.15140533,37.99933624,304.9456482,40.30548859
2/07/2014,11.85394096,60.31000137,25.48354149,87.34375,84.91130829,24.18011665,36.14612961,48.76371765,1010.273193,25.82912064,46.14002991,59.00989151,38.28674316,303.162323,40.31931686
3/07/2014,11.76645565,60.68999863,25.50279045,87.82910919,85.25405121,24.27745438,36.75362396,48.9576416,1011.325256,25.93605804,46.58825684,58.67184067,38.79867172,303.719635,40.84922791
7/07/2014,11.66648006,59.81999969,25.06010246,85.54108429,84.22580719,23.83942032,36.37841034,48.781353,1001.857239,25.59581184,46.24065399,58.84479141,38.0173111,297.3666382,40.37922287
8/07/2014,11.6164856,58.04000092,25.46429443,83.73841095,82.59046173,23.70313835,35.86024857,48.47282791,996.246582,25.48888016,46.01196671,59.01777267,37.63111115,296.8464966,39.96450424
9/07/2014,11.72271633,58.61999893,26.12833023,84.57702637,82.58067322,23.66419792,35.89598465,48.34060287,1002.032654,25.46944237,46.15832138,59.11210632,37.70296097,299.7072449,40.25019455
10/07/2014,11.69147301,58.20999908,25.60865021,84.34920502,82.48274231,23.34296417,35.54757309,47.79409027,988.3564453,25.19724846,46.18577194,59.37939072,37.27186584,295.3603821,39.75714111
11/07/2014,11.72896481,58.77000046,26.29193306,84.77182007,82.44358063,23.18721199,35.49396515,47.78527069,982.2198486,25.21669197,46.08514786,59.38725281,37.64011002,290.9764709,39.54058075
14/07/2014,11.72896481,59.36999893,25.59902763,85.21422577,83.10948944,23.17747879,35.52970886,47.90867996,991.8632202,25.37222862,46.35956955,59.67816162,37.43353653,294.6545105,39.52675629
15/07/2014,11.74146175,58.95000076,24.80988312,83.34223175,82.70795441,23.10934067,35.84238052,47.80290222,989.2332153,25.16808701,46.24980164,59.71743774,37.07427597,288.0412903,39.27791977
16/07/2014,11.8164463,58.61999893,25.29107094,82.05130768,83.06050873,23.40136909,35.28848648,47.99682999,1005.714539,25.17780304,46.76205826,59.9061203,37.68499756,293.2798462,39.13507843
17/07/2014,11.82269669,57.90000153,25.97435188,80.25193024,82.41419983,22.80757332,34.46658707,47.64422989,992.3890991,24.79868126,45.609478,59.59950638,37.34371948,287.446991,38.64664078
18/07/2014,11.8351965,58.93000031,25.92623329,82.66869354,83.30531311,22.90491486,34.79713058,47.82934189,990.1098633,25.14864159,46.14918137,60.18915176,37.58620071,291.2365112,39.33782959
21/07/2014,11.84144115,59.08000183,25.88773918,82.82388306,83.11924744,22.95359039,34.65417862,47.67949677,992.7399292,24.99310112,46.33212662,59.96902847,37.51436615,291.7195129,39.05674362
